Species,GeneID,GeneName,Elements,Citation(s) - DOI only,Closest species orthologs,Tissue,Comments
Osativa_v7.0,LOC_Os03g05640,PT2,Se,10.1111/nph.12596,,"Roots,shoots",NA
Osativa_v7.0,LOC_Os03g09140,Rab6a,"Fe,Zn",10.1093/pcp/pcw073,,"Seeds,shoot,roots",NA
Osativa_v7.0,LOC_Os03g12530,MTP8.1,Mn,10.1093/jxb/ert243,NA,"Shoots,Roots",NA
Osativa_v7.0,LOC_Os03g18550,MIT,Fe,10.1038/ncomms1326,NA,Shoots,NA
Osativa_v7.0,LOC_Os03g19420,NAS2,"Fe,Zn,Cu",10.1007/s10059-012-2231-3;10.1371/journal.pone.0024476,,Seeds,NA
Osativa_v7.0,LOC_Os03g19427,NAS1,"Fe,Zn",10.1371/journal.pone.0024476,,Seeds,NA
Osativa_v7.0,LOC_Os03g21240,PHR2,P,10.1104/pp.107.111443,,Shoots,NA
Osativa_v7.0,LOC_Os04g17660,HAC1;2,As,10.1104/pp.16.01332,,"Roots,shoots,seeds",NA
Osativa_v7.0,LOC_Os04g31290,FIT/bHLH156,"Fe,Mn,Cu,Zn",10.1111/jipb.12933;10.1093/jxb/erad439,,"Shoots,Roots",NA
Osativa_v7.0,LOC_Os04g32920,HAK1,Cs,10.1093/pcp/pcx094,NA,"Shoots, seeds",NA
Osativa_v7.0,LOC_Os04g38940,VIT1,"Fe,Zn",10.1111/j.1365-313X.2012.05088.x,"Athaliana, Taestivum","Shoots,seeds",NA
Osativa_v7.0,LOC_Os04g45860,YSL9,Fe,10.1007/s11103-017-0656-y,NA,"Shoots,seeds",NA
Osativa_v7.0,LOC_Os04g45900,YSL16,Cu,10.1105/tpc.112.103820,NA,"Roots,shoots,seeds",NA
Osativa_v7.0,LOC_Os04g46940,HMA5,Cu,10.1104/pp.113.226225,NA,"Roots,shoots",NA
Osativa_v7.0,LOC_Os04g49410,EXPA10,Al,10.1111/tpj.13237,,Roots,NA
Osativa_v7.0,LOC_Os04g49900,ABCC7,As,10.1093/pcp/pcz054,,Shoots,NA
Osativa_v7.0,LOC_Os04g52310,ZIP3,Zn,10.1111/tpj.13005,NA,Shoots,NA
Osativa_v7.0,LOC_Os04g52900,ABCC1,As,10.1073/pnas.1414968111,Athaliana,Seeds,NA
Osativa_v7.0,LOC_Os04g56430,RMC,"Fe,Mn,Cu",10.1093/jxb/ert290,,"Root,shoot,seeds",NA
Osativa_v7.0,LOC_Os05g34290,PCS1,As,10.1111/tpj.13612,Arabidopsis thaliana,Seeds,*Nomenclature used from Hayashi et al (2017 - 10.1111/tpj.13612)
Osativa_v7.0,LOC_Os05g37470,AUX3,Al,10.1111/pce.13478,,Roots,NA
Osativa_v7.0,LOC_Os05g38140,bHLH58,Fe,10.1007/s11103-019-00917-8,,Seeds,NA
Osativa_v7.0,LOC_Os05g39560,ZIP5,Zn,10.1007/s11103-010-9637-0),NA,Leaf,NA
Osativa_v7.0,LOC_Os05g40384,EUI,Fe,PubMed: 28065924,,"Leaf,shoots,roots",NA
Osativa_v7.0,LOC_Os05g47780,HRZ2,Fe,10.1038/ncomms3792,NA,"Shoots, seeds",NA
Osativa_v7.0,LOC_Os05g48390,PHO2,P,10.1111/j.1365-313X.2008.03734.x,,Leaf,LTN1
Osativa_v7.0,LOC_Os06g01260,PCS2,"As, Cd",10.1093/pcp/pcx114,Arabidopsis thaliana,Seeds,*Nomenclature used from Hayashi et al (2017 - 10.1111/tpj.13612)
Osativa_v7.0,LOC_Os06g05160,SPDT,P,10.1038/nature20610,NA,Seed,SULTR3;4
Osativa_v7.0,LOC_Os06g48720,HMA2,Zn,10.1111/j.1365-3040.2012.02527.x,NA,"Shoots,Roots",NA
Osativa_v7.0,LOC_Os06g48810,HKT2;1,Na,10.1038/sj.emboj.7601732,,"Roots, shoots",Previously OsHKT1
Osativa_v7.0,LOC_Os07g01810,TPKb,K,10.1111/nph.13708,NA,"Leaf,root",NA
Osativa_v7.0,LOC_Os07g09000,PHF1,P,10.1104/pp.111.181669,,"Leaf,root",NA
Osativa_v7.0,LOC_Os07g12900,HMA3,Cd,10.1007/s11104-016-2812-6,NA,"Shoots,seeds",NA
Osativa_v7.0,LOC_Os07g15370,NRAMP5,"Fe,Mn,Cd",10.1105/tpc.112.096925,NA,Leaf,NA
Osativa_v7.0,LOC_Os07g15460,NRAMP1,"Cd,Mn",10.1111/ pce.13843,,"Roots,shoots,seeds",NA
Osativa_v7.0,LOC_Os07g48980,NAS3,"Fe,Zn",10.1371/journal.pone.0024476,,Seeds,NA
Osativa_v7.0,LOC_Os08g01120,MOT1;1,Mo,10.1111/nph.15546,MOT1;1,"Shoots,Seed",NA
Osativa_v7.0,LOC_Os08g04390,PRI1,Fe,10.1104/pp.17.00794,NA,"Shoots, roots",NA
Osativa_v7.0,LOC_Os08g05590,NIP3;2,As,10.1093/jxb/erx165,,Roots,NA
Osativa_v7.0,LOC_Os08g05600,NIP3;3,As,10.1111/nph.15190,,Shoots,NA
Osativa_v7.0,LOC_Os08g10480,ATX1,Cu,10.1104/pp.18.00425,NA,"Shoots, Roots, Seeds",NA
Osativa_v7.0,LOC_Os09g23300,VIT2,"Fe,Zn",10.1111/j.1365-313X.2012.05088.x,"Athaliana, Taestivum","Shoots,seeds",NA
Osativa_v7.0,LOC_Os12g03899,ZIFL12,Fe,10.1104/pp.19.00598,,Shoots,VMT
Osativa_v7.0,LOC_Os12g18410,MIR,Fe,10.1093/mp/ssp051,NA,"Shoots,Roots,Seeds",NA
Osativa_v7.0,LOC_Os12g32400,bHLH133,Fe,10.1111/j.1365-3040.2012.02569.x,,"Leaf,root,shoot",NA
Osativa_v7.0,LOC_Os12g37840,BOR1,B,10.1105/tpc.106.049015,,Shoots,NA
Osativa_v7.0,LOC_Os12g42980,ASTOL1,"As,S,Se",10.1038/s41467-021-21282-5,,Seed,NA
Osativa_v7.0,LOC_Os01g49470,HRZ1,Fe,10.1038/ncomms3792,NA,"Shoots, seeds","Gene ID from RAPDB, with no matching ID at MSU"
S.lycopersicum_ITAG4.0,Solyc12g005670,SlHAK5,"K,Cs",10.1111/pce.13769,NA,"Shoots,Leaf,Roots,Fruit",NA
Taestivum_v2.2,2AL-TRIAE_CS42_ 2AL_TGACv1_095050_AA0306410,IPK1,"Fe, Zn",10.3389/fpls.2018.00259,,Seed,NA
Taestivum_v2.2,Traes_4AS_7220D33B3,PHR1,P,10.1093/aob/mct080,,Shoots,NA
Taestivum_v2.2,Traes_4BL_7091749BF,ABCC13,Ca,10.1093/jxb/erw224,,Seed,NA
Taestivum_v2.2,Traes_4DL_3F8034BFD,HKT2;1,Na,10.1046/j.1365-313X.2002.01410.x,NA,Roots,NA
Zmays_RefGen_V4,Zm00001d002378,HKT1;2,"Na,K",10.1111/pbi.13927,,"Shoots,Roots",
Zmays_RefGen_V4,Zm00001d028360,YS1,"Fe",10.1104/pp.106.1.71,"Osativa, Sbicolor, Taestivum","Roots",
Zmays_RefGen_V4,Zm00001d032461,TLS1,"B",10.1105/tpc.114.125898,,"Shoots, roots, anthers",
Zmays_RefGen_V4,Zm00001d040627,HKT1,"Na",10.1111/nph.14882,,"Leaf",
Zmays_RefGen_V4,Zm00001d041111,YS3,"Fe",10.3389/fpls.2018.00157,,"Leaf",
Zmays_RefGen_V4,Zm00001d042244,HAK5,"K",10.1111/jipb.12756,,"Roots, shoots",
Zmays_RefGen_V4,Zm00001d043062,WRKY64,"Cd",10.1007/s00299-023-03112-8,,"Leaf,Roots",


